作物,年份,1月價格,2月價格,3月價格,4月價格,5月價格,6月價格,7月價格,8月價格,9月價格,10月價格,11月價格,12月價格,
番石榴(珍珠)(元/公斤),2014,69.12,60.36,64.38,52.91,51.28,63.33,-,-,-,-,87.75,69.96,
蓮霧(元/公斤),2014,-,85,155.97,155.14,-,-,-,-,-,-,-,-,
枇杷(元/公斤),2014,-,-,-,-,50,28.62,24.34,-,-,-,-,-,
荔枝(黑葉)(元/公斤),2014,-,-,-,-,99.65,53.96,42,-,-,-,-,-,
荔枝(玉荷)(元/公斤),2014,-,-,-,-,-,-,47.33,29.03,25.25,-,-,-,
龍眼(大粒)(元/公斤),2014,61.98,47.24,51.04,-,-,-,-,-,-,-,-,60.10,
棗子(元/公斤),2014,63.08,64.17,65.11,-,-,-,65,52.42,57.32,64.25,61.74,61.44,
番荔枝(元/公斤),2014,33.50,30.17,33.56,36.67,-,-,-,-,28.83,35.39,41.72,34.67,
楊桃(馬來種)(元/公斤),2014,-,-,-,-,-,77.50,52.33,48.11,57.33,58.33,80,105.67,
酪梨(元/公斤),2014,5.41,5.17,5.14,5.53,6.03,6.42,7.06,7.90,8.50,8.08,7.17,6.64,
椰子(元/公斤),2014,1.06,1.66,1.73,2.18,3.06,1.85,0.94,1.08,0.94,0.70,0.50,0.70,
檳榔(元/ 粒),2014,34.35,31.55,34.71,36.34,27.71,24.52,25.21,27.43,29.56,31.19,39.50,47.97,
木瓜(元/公斤),2014,-,-,-,-,-,103.33,60.67,50.17,51,46.83,35.67,48,
百香果(元/公斤),2014,40.89,35.92,43.25,37.21,34.27,18.01,10.65,26.27,14.40,19.82,14.51,16.43,
香蕉(內銷)(元/公斤),2014,-,-,-,-,-,15.21,16.07,15.21,18.66,21.73,18.27,-,
鳳梨(開英)(元/公斤),2014,15.83,20.63,18.89,23.55,28.20,21.25,20.40,19.69,21.88,28,19,23.78,
鳳梨(17號)(元/公斤),2014,-,-,-,-,116.67,79.33,53.11,52.92,55.17,61.33,69,-,
紅龍果(元/公斤),2014,34.94,37,-,-,-,-,-,-,-,39.50,31.05,29.08,
椪柑(元/公斤),2014,49.08,35.98,39.28,55.50,-,-,-,-,-,-,-,-,
桶柑(元/公斤),2014,-,-,-,-,-,-,-,24,29.20,22.50,-,-,
文旦(元/公斤),2014,18.19,17.26,19.54,23.29,-,-,-,-,-,19.60,19.41,19.60,
柳橙(元/公斤),2014,54.97,50.96,49.58,53.28,46.70,47.12,33.64,28.54,29.83,37.43,72.38,73.79,
檸檬(元/公斤),2014,33.42,-,-,-,-,-,-,-,-,-,-,25,
海梨柑(元/公斤),2014,48.40,51.17,62.67,79.33,-,-,-,-,-,-,-,-,
茂谷柑(元/公斤),2014,46.67,59,78.53,-,-,-,-,-,-,-,58,38.33,
金柑(元/公斤),2014,-,-,-,-,20,-,-,-,-,-,-,-,
李(玉李)(元/公斤),2014,-,-,-,-,70,43.33,-,-,-,-,-,-,
李(紅肉)(元/公斤),2014,-,-,-,-,-,28.25,-,-,-,-,-,-,
鶯歌桃(元/公斤),2014,-,-,-,55.83,50.33,-,-,-,-,-,-,-,
甜桃(元/公斤),2014,-,-,-,-,-,-,66.15,69.45,-,-,-,-,
水蜜桃(元/公斤),2014,-,-,-,-,-,-,-,-,20,25,26.17,-,
牛心柿(元/公斤),2014,-,-,-,-,-,-,-,-,109.67,82.75,86.17,81.11,
甜柿(元/公斤),2014,-,-,-,-,-,-,-,15.63,21.43,25.85,30,-,
紅柿(軟柿)(元/公斤),2014,-,-,41,37.58,29.66,-,-,-,-,-,-,-,
青梅(手採)(元/公斤),2014,-,-,-,10.43,7.75,-,-,-,-,-,-,-,
青梅(竿採)(元/公斤),2014,-,-,-,-,-,-,35,35,15,-,-,-,
橫山梨(元/公斤),2014,-,-,-,-,-,-,-,40.42,60,51.67,55,-,
新世紀梨(元/公斤),2014,-,-,-,-,-,45.75,77.39,142.22,130,-,-,-,
豐水梨(元/公斤),2014,-,-,-,-,-,-,-,-,-,-,-,-,
幸水梨(元/公斤),2014,-,-,-,-,-,-,35.45,40.45,45,50.67,-,-,
新興梨(元/公斤),2014,73,-,75,88.33,81.67,70,51.69,66.18,103,83.55,67.25,61.09,
巨峰葡萄(元/公斤),2014,64.84,65.63,69.21,71.67,74.13,69.51,65.05,62.73,61.99,58.04,58.74,58.71,
落花生(帶殼)(元/公斤),2014,72.23,70,70,-,-,-,-,-,-,-,-,69.59,
紅豆(中等)(元/公斤),2014,80.83,80.25,80.83,80.67,90.42,90.17,80.33,80.33,80.17,80,80.17,-,
綠豆(省產)(元/公斤),2014,18.60,19.08,19.69,22.07,24.50,27.36,24.62,27.89,24.47,22.20,16.25,13.40,
甘藷(元/公斤),2014,-,-,208.33,254.13,239.48,181.62,133,149.67,164.06,218.24,256.03,186.67,
烏龍茶菁(手)(元/公斤),2014,-,-,-,85.83,72.77,59.98,63.58,61.66,63.38,65.50,66.33,-,
烏龍茶菁(機)(元/公斤),2014,-,-,157,152.61,144.08,119.50,72,79.33,102.42,137.88,159.93,156.17,
金萱茶菁(手)(元/公斤),2014,-,-,35.43,50.18,47.07,42.99,43.54,44.10,44.70,46.78,56.83,-,
金萱茶菁(機)(元/公斤),2014,-,-,-,-,-,500,489.67,483.75,474.67,280,-,-,
蓮子(脫殼)(元/公斤),2014,10.81,10.74,9.73,9.77,7.82,7.85,9.17,11.44,10.49,11.54,11.67,11.81,
紅甘蔗(元/公斤),2014,232.12,246.67,250,250,217.20,218.40,250,250,250,250,245,222.41,
芝麻(黑省產)(元/公斤),2014,8.85,7.29,7.10,7.29,5.59,6.05,7.08,8.70,6.17,5.10,6.21,6.63,
文心蘭(元/支),2014,6.66,5.12,5.94,4.35,3.63,5.33,8.17,9.33,6.67,6.67,6.15,7.34,
菊花(大菊)(元/支),2014,9.11,12.19,9,3.55,4.69,5.84,3.97,3.57,4.72,4.70,4.14,6.07,
玫瑰(黛安娜)(元/支),2014,14.63,12.63,13.66,11.30,8.06,8.54,10.25,10.79,11.69,11.40,10.33,10.47,
火鶴(紅)(元/支),2014,6.05,2.84,2.75,2.30,2.56,4.95,5.06,3.67,5.33,6.06,4.17,4.33,
非洲菊(元/支),2014,72.57,69.25,65.50,46.60,88.72,106.55,72.85,71.57,89.22,82.08,60.52,91.05,
滿天星(元/ 把),2014,69.67,62.50,70,44,27.33,61,60,40.33,42.67,80,63.33,80,
卡斯比亞(元/把),2014,-,-,-,-,-,-,-,-,-,-,-,-,
香石竹(康乃馨)大輪(元/支),2014,5.78,3.42,4.05,3.11,3.37,3.17,3.33,3.83,3.83,3.86,3.17,3.22,
香石竹(康乃馨)中康(元/支),2014,14,5.50,7.67,9.67,7,11.67,9,6.67,9,13,11,12,
天堂鳥(元/支),2014,7.17,5.75,6.17,5.67,4,4.17,4.83,5.50,5.50,5.67,4.17,5.50,
夜來香(元/支),2014,7.12,3.85,4.79,4.14,4.43,4.95,5.86,6.29,5.02,6.14,4.12,5.21,
唐菖蒲(劍蘭)(元/支),2014,-,-,-,-,-,31.40,19.87,35.58,26.22,30.73,27.34,28.25,
葵百合(紅)(元/支),2014,-,-,-,-,-,-,-,-,-,-,-,-,
姬百合(橙)(元/支),2014,43.24,23.27,25.37,14.31,18.33,28,29.53,34.74,31.37,39.06,38.02,41.75,
香水百合(白)(元/支),2014,32.10,21.88,24.20,19.77,23.33,23.83,24,23.83,24.50,23.67,24.17,23.33,
香水百合(黃)(元/支),2014,-,-,-,-,-,-,-,-,-,-,70,70,
聖誕紅(元/盆),2013,9.95,5.60,5.69,7.87,12.87,12.90,9.80,9.50,21.91,18.82,8.82,6.76,
蘿蔔(元/公斤),2013,15.77,10.85,8.84,10.50,13.33,13.50,16,17.50,23.67,25.50,20.58,15.07,
胡蘿蔔(元/公斤),2013,-,-,-,12.33,12.70,-,-,-,-,-,-,-,
牛蒡(元/公斤),2013,-,-,-,-,50,51,49.48,49.77,54.38,59.67,-,-,
生薑(嫩薑)(元/公斤),2013,21.28,31.53,36.50,44,51.11,55,50,63.33,81.67,86.67,96.67,78.33,
生薑(老薑粉薑)(元/公斤),2013,51.45,54.58,43.33,35,34.33,30,28.33,33.45,34.75,40.37,42.76,40.09,
芋頭(元/公斤),2013,-,-,-,76.67,64.01,79.65,66.31,61.53,61.92,64.61,31.67,-,
綠竹筍(元/公斤),2013,-,-,-,27,23,27.67,20.67,24,29.33,23.33,-,-,
烏殼;綠竹筍(元/公斤),2013,76.67,75,61.67,51.67,37.33,34.44,26.25,28.03,37.77,32.22,45.33,55,
麻竹筍(元/公斤),2013,-,-,-,34.33,34.94,-,-,-,-,-,-,-,
桂竹筍(生筍)(元/公斤 ),2013,-,-,-,-,27.17,31.83,-,-,-,-,-,-,
轎篙筍(元/公斤),2013,-,-,-,100,80,71.67,67.33,69.67,70,71.67,83,-,
白蘆筍(元/公斤),2013,-,110,93.89,94,92,88.89,94.89,100.27,99.87,109.83,112.22,166.67,
綠蘆筍(元/公斤),2013,-,67.50,46.67,45,50.33,69.33,73.33,40,51,56.67,49,-,
茭白筍(帶殼)(元/公斤),2013,14.89,9,6.17,-,-,-,-,-,-,-,-,-,
大芥菜(鮮食)(元/公斤),2013,24.35,21.88,19.33,19,18.33,18.17,18,19.50,22.83,24.17,23.17,21.90,
馬鈴薯(食用)(元/公斤),2013,27.42,22.46,19.45,19.76,19.76,36.98,68.49,52.34,85.65,72.78,49.05,36.60,
青蔥(元/公斤),2013,13.96,12.75,11.17,11.02,16.80,18.67,17.43,-,-,-,30,21.33,
洋蔥(內銷)(元/公斤),2013,47.19,38,31.71,37.91,32.46,-,-,-,-,-,-,61.17,
青蒜(元/公斤),2013,-,67,59.25,62.07,59.73,55.24,54.70,54.88,54.66,57.13,57.11,59.75,
蒜頭(蒜球)(元/公斤),2013,35,34.50,25.44,23.56,20.22,30.78,29.03,28.34,52.33,46,35.22,34.55,
韭菜(元/公斤),2013,-,-,-,-,-,-,-,-,-,-,-,-,
韭黃(元/公斤),2013,53.39,20.79,20.57,33.03,26.87,19.70,21.30,23.23,46.70,29.50,24.33,36.22,
蕹菜(空心菜)(元/公斤),2013,48.33,42.50,35.83,46.67,-,-,-,-,-,-,-,-,
芹菜(土芹菜)(元/公斤),2013,19.42,9.94,4.23,5.42,14.79,18.84,16.66,14.13,25.83,27.06,13.58,8.90,
甘藍(元/公斤),2013,28.93,18.19,12.98,18.10,38.18,-,-,-,-,-,-,-,
甘藍芽(元/公斤),2013,21.11,14.34,12.94,25.94,23.22,22.06,20.61,25.61,48.89,27.28,19.61,23.94,
小白菜(元/公斤),2013,25.75,19,14.50,22.33,16.67,19,14.33,18.33,38,17.33,17.60,15,
青江白菜(元/公斤),2013,16.06,5.83,3.95,11.16,13.01,14.07,11.34,12.08,28.11,18.14,8.74,9.83,
結球白菜(元/ 公斤),2013,32.50,12.01,10.49,34.61,-,30.90,52.13,64.87,59.56,51.46,27.73,26.75,
菠菜(元/公斤),2013,-,-,-,-,-,-,-,-,-,-,-,-,
芥藍(元/公斤),2013,51.67,-,31,36,29.33,28,27.67,28,48.33,40.67,24,33.33,
莧菜(元/公斤),2013,37.83,16,13.33,27.67,31.67,-,-,-,-,-,-,-,
本島萵苣(元/公斤),2013,20,15,11.11,23,29.33,-,-,-,-,-,-,-,
萵苣(油麥菜)(元/公斤),2013,43.94,21.67,18.67,22.67,-,-,-,-,-,42.25,29.33,37,
茼萵(元/公斤),2013,24,11.04,10.60,19.23,21.80,39.08,33.67,32.78,62.78,48.39,18.87,22.40,
花椰菜(白)(元/公斤),2013,31.64,15.40,11.63,18.75,28.48,-,-,-,-,-,-,-,
青花苔(元/公斤),2013,595.33,593.75,582.50,582.50,547.50,580,568.17,574.67,593.66,588.89,591.66,601.11,
金針菜  (乾)(元/公斤),2013,24.86,16.40,11.27,19.27,18.64,12.18,14.73,17.34,30.89,20.16,14.25,17.89,
胡瓜(黑刺)(元/公斤),2013,30.11,29.84,24.59,32.12,27.33,18.66,22.68,29.10,43.47,29.53,21.93,28.01,
花胡瓜(元/公斤),2013,10,7,9.90,9.98,9.58,10,-,10.85,11.92,12.42,9.87,9.33,
冬瓜(元/公斤),2013,44.14,40.72,29.55,27.72,29.68,25.31,25.39,32.75,66.20,42.87,32.76,41.34,
苦瓜(元/公斤),2013,-,-,-,-,-,-,-,-,-,-,-,-,
絲瓜(菱角)(元/公斤),2013,24.26,15.60,15.91,22.08,20.16,16.14,21.75,17.93,38.29,26.18,23.45,26.69,
絲瓜(元/公斤),2013,14.78,8.17,8.86,14.67,17,-,-,-,-,16,9,12.33,
扁蒲(元/公斤),2013,18.27,10.13,11.33,22.37,24.67,25.56,26.83,30.45,60.17,38.14,26.39,28.47,
茄子(元/公斤),2013,14.95,11.86,14.89,18.61,26.83,45.28,46.57,29.74,49.40,62.50,56.15,37.30,
番茄(黑柿)(元/公斤),2013,41.45,35.83,41.22,34.17,40.83,63.33,45,63.33,90,56.67,100,76.67,
小蕃茄(聖女)(元/公斤),2013,28.82,14.35,11.81,19.83,34,48.14,30.01,26.09,57.45,52.75,27.83,28.86,
甜椒(青椒)(元/公斤),2013,-,-,-,14.10,10.89,16.48,14.86,10,-,19,16.67,-,
西瓜(大粒)(元/公斤),2013,-,-,16.78,9.04,8.67,15.62,10.67,12.17,18,20.38,18.17,12,
西瓜(小粒)(元/公斤),2013,-,-,-,11,8,-,-,-,-,-,-,-,
西瓜(無子)(元/公斤),2013,31.33,33.25,43.83,38.13,41,38.76,24.12,24.25,34.92,34.67,23,38.33,
洋香瓜(元/ 公斤),2013,-,-,53.83,29.17,33,57.60,41.78,37.75,40.50,43.89,33.17,-,
香瓜(美濃瓜)(元/公斤),2013,59.33,45.17,33.33,58,70.42,63.07,79.93,78,100.87,87.56,44.87,44.76,
敏豆(四季豆)(元/公斤),2013,40.56,34.17,29.33,36.78,33.42,22,24.81,30.33,57.53,49.58,34.67,41.56,
豇豆(元/公斤),2013,102.08,87.75,41.59,81.50,-,-,-,-,-,-,83.17,70.91,
豌豆(元/公斤),2013,58.33,55,31.50,73,-,-,-,-,-,-,-,-,
甜豌豆(元/公斤),2013,22.12,12.35,12.35,12.37,12.61,-,-,-,-,-,12.50,-,
毛豆(帶莢)(元/公斤),2013,33.63,28.88,33.17,22.28,34.24,41.58,55.05,27,80.83,92.83,130.50,101.89,
辣椒(元/公斤),2013,16.29,13.25,12.67,12.36,13.34,12.09,10.17,13.16,23.18,22.89,18.62,14.40,
甜玉米(鮮食)(元/公斤),2013,83.17,-,-,-,-,-,-,48.33,55,55,94.47,89.17,
蓮藕(元/公斤),2013,154.17,151.25,64.44,70.56,-,-,-,-,-,-,-,162.22,
草莓(元/公斤),2013,84.44,81.67,79.44,108,98.33,103.33,95,105,116.67,105.83,95.56,90.53,
洋菇(元/公斤),2013,1105.83,1147.50,1124.17,1122.50,1117.50,1134.17,1150,1167.50,1175,1180.83,1186.67,1200.83,
香菇(太空包)乾(元/公斤),2013,74.33,74.83,74.55,72.22,73.55,74.11,73.67,75,72.78,73.89,76,76.22,
香菇(太空包)鮮(元/公斤),2013,42.17,40.50,42.83,31.67,33.67,36,34.33,45.33,52.33,51,57.83,69.17,
木耳(黑色溼)(元/公斤),2013,-,-,-,-,-,-,-,-,-,-,-,-,
鮑魚菇(元/公斤),2013,-,-,-,-,-,78,79.22,80.11,96.45,92.67,89.11,86.34,
杏鮑菇(元/公斤),2013,13.67,12.50,15.67,16,-,-,-,-,14,16.58,18.33,18.42,
葡萄柚(元/公斤),2013,-,-,76.67,62.04,53.49,29.32,23.75,-,-,-,-,-,
芒果(在來)(元/公斤),2013,-,-,-,88.83,81.47,44.45,28.64,41.70,-,-,-,-,
芒果(愛文)(元/公斤),2013,-,-,-,-,58.34,24.78,20.06,30.03,-,-,-,-,
芒果(金煌)(元/公斤),2013,-,-,-,-,-,-,-,-,-,-,-,-,
番石榴(泰國)(元/公斤),2013,-,-,-,-,-,-,-,-,-,-,-,-,
番石榴(世紀)(元/公斤),2013,11.22,13.62,13.13,11.12,21.81,19.20,10.62,19.56,32.14,33.90,29.04,40.18,
番石榴(珍珠)(元/公斤),2013,61.46,58.04,50.36,49.58,54.98,49.72,-,-,-,-,73.53,71.08,
蓮霧(元/公斤),2013,-,63.75,99.03,74.50,-,-,-,-,-,-,-,-,
枇杷(元/公斤),2013,-,-,-,-,43.75,25.69,26.50,-,-,-,-,-,
荔枝(黑葉)(元/公斤),2013,-,-,-,-,100.08,46.46,-,-,-,-,-,-,
荔枝(玉荷)(元/公斤),2013,-,-,-,-,-,-,45.96,40.74,44.95,-,-,-,
龍眼(大粒)(元/公斤),2013,52.81,39.17,36.17,-,-,-,-,-,-,-,61.84,61.32,
棗子(元/公斤),2013,60.89,58,62.61,-,-,-,81,61.89,55.83,66.11,64.96,63.11,
番荔枝(元/公斤),2013,17.60,15.29,21.08,23.50,-,-,-,22,28.05,31.11,32.22,32,
楊桃(馬來種)(元/公斤),2013,-,-,-,-,-,70,47.33,44.44,56.89,53.33,69.33,91,
酪梨(元/公斤),2013,5.33,5.29,5.52,5.78,6.11,6.64,6.18,6.56,6.06,6.82,6.13,5.94,
椰子(元/公斤),2013,0.65,0.97,1.15,1.45,1.92,1.07,0.91,1.05,0.91,0.73,0.55,0.67,
檳榔(元/ 粒),2013,25.47,16.05,27.14,31.45,29.07,30.24,21.98,27.41,25.55,44.89,54.65,42.40,
木瓜(元/公斤),2013,-,-,-,-,-,63.83,50,40.33,51.17,47.83,56,42,
百香果(元/公斤),2013,30.83,30.68,24.89,23.93,23.49,7.88,10.37,22.62,29.12,30.81,36.67,36.74,
香蕉(內銷)(元/公斤),2013,-,-,-,-,-,16.34,15.13,16.48,17.23,17.23,13,-,
鳳梨(開英)(元/公斤),2013,24.17,23.50,26.16,20.01,20.68,23.46,19.40,27.30,23.05,21.83,17.58,17.25,
鳳梨(17號)(元/公斤),2013,-,-,-,-,100,69.89,50.58,44.25,49.61,44.54,70.92,-,
紅龍果(元/公斤),2013,37.04,39.38,-,-,-,-,-,-,-,38.56,30.32,30.37,
椪柑(元/公斤),2013,41.31,30.13,27.78,28.67,-,-,-,-,-,-,-,-,
桶柑(元/公斤),2013,-,-,-,-,-,-,-,24,41.79,26.33,-,-,
文旦(元/公斤),2013,17.43,20.41,21.13,21.44,-,-,-,-,-,18.47,18.07,19.46,
柳橙(元/公斤),2013,27.83,29.42,38.89,32.30,29.29,39.02,23.71,30.36,37,52.67,80.15,70.45,
檸檬(元/公斤),2013,25.18,21.67,-,-,-,-,-,-,-,-,-,35,
海梨柑(元/公斤),2013,50.17,54.37,44.06,39.17,-,-,-,-,-,-,-,-,
茂谷柑(元/公斤),2013,27.33,35.50,40,-,-,-,-,-,-,-,55,42.33,
金柑(元/公斤),2013,-,-,-,25,21.67,-,-,-,-,-,-,-,
李(玉李)(元/公斤),2013,-,-,-,-,37.50,45,-,-,-,-,-,-,
李(紅肉)(元/公斤),2013,-,-,-,-,-,65,-,-,-,-,-,-,
鶯歌桃(元/公斤),2013,-,-,-,46.67,49,-,-,-,-,-,-,-,
甜桃(元/公斤),2013,-,-,-,-,-,-,66.35,82.67,-,-,-,-,
水蜜桃(元/公斤),2013,-,-,-,-,-,-,-,-,38.33,32.17,30,-,
牛心柿(元/公斤),2013,-,-,-,-,-,-,-,-,58.33,88.39,89.50,76.67,
甜柿(元/公斤),2013,-,-,-,-,-,-,-,15.37,21.55,20.77,24,-,
紅柿(軟柿)(元/公斤),2013,-,-,36.41,35.84,34.99,-,-,-,-,-,-,-,
青梅(手採)(元/公斤),2013,-,-,-,11.85,12.83,-,-,-,-,-,-,-,
青梅(竿採)(元/公斤),2013,-,-,-,-,-,-,-,30,24.33,-,-,-,
橫山梨(元/公斤),2013,-,-,-,-,-,-,-,60,63.33,50,-,-,
新世紀梨(元/公斤),2013,-,-,-,-,-,56.13,78.03,129.50,-,-,-,-,
豐水梨(元/公斤),2013,-,-,-,-,-,-,-,-,-,-,-,-,
幸水梨(元/公斤),2013,-,-,-,-,-,-,36.56,39.78,46.42,55.67,-,-,
新興梨(元/公斤),2013,73.47,-,71.67,73.33,60,70.33,53.05,71.13,73.06,69.05,64.23,75.62,
巨峰葡萄(元/公斤),2013,53.72,53.44,54.54,54.80,55.11,58.71,57.48,55.34,57.04,57,60.85,64.46,
落花生(帶殼)(元/公斤),2013,57.91,62.53,64.67,-,-,-,-,-,-,-,-,55.33,
紅豆(中等)(元/公斤),2013,80.50,80.25,80.67,80.50,89,90.42,80.83,80.17,80.67,80.83,80.67,-,
綠豆(省產)(元/公斤),2013,22.41,15.91,13.06,12.62,11.47,12.08,11.81,13.01,17.63,18.05,20.06,20.63,
甘藷(元/公斤),2013,-,-,224.34,259.49,252.51,150.57,122.67,147,173.33,216.52,259.13,156.67,
烏龍茶菁(手)(元/公斤),2013,-,-,-,75.77,66.61,55,55.83,56.38,57.50,61.38,78,-,
烏龍茶菁(機)(元/公斤),2013,-,-,120,146.26,143.62,102.22,70.67,75,120.42,126.62,151,131,
金萱茶菁(手)(元/公斤),2013,-,-,33.30,47.73,43.07,39.33,41,39.33,39.89,43.92,48.45,-,
金萱茶菁(機)(元/公斤),2013,-,-,-,-,-,443.50,477.17,446.17,396.33,380.83,-,-,
蓮子(脫殼)(元/公斤),2013,11.29,10.77,9.83,9.83,9.79,10.17,8.83,9.94,9.71,10.58,10.74,11.06,
紅甘蔗(元/公斤),2013,209.13,230,230,230,207.77,207.77,230,230,230,243.33,238.67,232.39,
芝麻(黑省產)(元/公斤),2013,7.25,7.50,7.13,7.72,7.88,7.07,7.54,8.26,5.84,6.24,6.55,7.76,
文心蘭(元/支),2013,5.23,5.54,4.37,6.42,5.60,6.22,5.33,6,7.35,7.17,5.62,6.17,
菊花(大菊)(元/支),2013,5.88,4.98,4.27,2.82,3.29,4.34,3.93,3.67,5.05,5.09,4.14,6.90,
